episode,frames,t_start,t_end,duration_s,det_ratio,median_conf,missing_xy_ratio,displacement_px,path_len_px,median_speed_px_s,p95_speed_px_s,max_step_px,p99_speed_px_s,max_speed_px_s,jump_ratio,tortuosity,keep,reject_reason
130,209,349.128,357.465,8.336999999999989,0.7368421052631579,0.93525,0.0,4012.1692149291257,4980.599807088386,734.0157817777388,995.4589576628354,198.6320605139061,1561.8733412270487,4965.801512852169,0.004807692307692308,1.2413733170963397,False,jump_max_step
131,19,358.627,359.348,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
132,19,360.511,361.232,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
133,19,362.394,363.116,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
134,19,364.278,364.999,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
135,19,366.162,366.883,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
136,19,368.045,368.767,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
137,19,369.929,370.651,0.7220000000000368,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
138,19,371.813,372.534,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
139,19,373.697,374.418,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
140,19,375.58,376.302,0.7220000000000368,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
142,19,384.999,385.72,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
143,19,386.883,387.604,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
144,19,388.766,389.488,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
145,19,390.65,391.371,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
146,19,392.534,393.255,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
147,19,394.417,395.139,0.7220000000000368,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
149,19,404.598,405.319,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
150,19,406.481,407.203,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
151,19,408.365,409.086,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
152,19,410.249,410.97,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
153,19,412.132,412.854,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
